"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","host","6.0","USB","64","GET DESCRIPTOR Request DEVICE"
"2","0.000594000","6.0","host","USB","82","GET DESCRIPTOR Response DEVICE"
"3","29.606379000","host","6.3","USB","64","URB_INTERRUPT in"
"4","29.668068000","host","6.4","USB","128","URB_INTERRUPT out"
"5","29.668724000","6.4","host","USB","64","URB_INTERRUPT out"
"6","29.671800000","6.3","host","USB","128","URB_INTERRUPT in"
"7","29.671873000","host","6.3","USB","64","URB_INTERRUPT in"
"8","29.684136000","host","6.4","USB","128","URB_INTERRUPT out"
"9","29.684760000","6.4","host","USB","64","URB_INTERRUPT out"
"10","29.687778000","6.3","host","USB","128","URB_INTERRUPT in"
"11","29.687832000","host","6.3","USB","64","URB_INTERRUPT in"
"12","29.689714000","6.3","host","USB","64","URB_INTERRUPT in"
"13","29.689726000","host","6.3","USB","64","URB_INTERRUPT in"
"14","29.707518000","host","6.4","USB","128","URB_INTERRUPT out"
"15","29.708721000","6.4","host","USB","64","URB_INTERRUPT out"
"16","29.715529000","host","6.4","USB","128","URB_INTERRUPT out"
"17","29.718715000","6.4","host","USB","64","URB_INTERRUPT out"
"18","29.721723000","6.3","host","USB","128","URB_INTERRUPT in"
"19","29.721777000","host","6.3","USB","64","URB_INTERRUPT in"
"20","29.723771000","6.3","host","USB","64","URB_INTERRUPT in"
"21","29.723786000","host","6.3","USB","64","URB_INTERRUPT in"
"22","29.730386000","host","6.4","USB","128","URB_INTERRUPT out"
"23","29.732714000","6.4","host","USB","64","URB_INTERRUPT out"
"24","29.733708000","6.3","host","USB","128","URB_INTERRUPT in"
"25","29.733733000","host","6.3","USB","64","URB_INTERRUPT in"
"26","29.942634000","host","6.4","USB","128","URB_INTERRUPT out"
"27","29.944762000","6.4","host","USB","64","URB_INTERRUPT out"
"28","29.948998000","host","6.4","USB","128","URB_INTERRUPT out"
"29","29.950738000","6.4","host","USB","64","URB_INTERRUPT out"
"30","29.953778000","6.3","host","USB","128","URB_INTERRUPT in"
"31","29.953827000","host","6.3","USB","64","URB_INTERRUPT in"
"32","29.955712000","6.3","host","USB","64","URB_INTERRUPT in"
"33","29.955721000","host","6.3","USB","64","URB_INTERRUPT in"
"34","29.961938000","host","6.4","USB","128","URB_INTERRUPT out"
"35","29.962760000","6.4","host","USB","64","URB_INTERRUPT out"
"36","29.963723000","6.3","host","USB","128","URB_INTERRUPT in"
"37","29.963769000","host","6.3","USB","64","URB_INTERRUPT in"
"38","30.174918000","host","6.4","USB","128","URB_INTERRUPT out"
"39","30.176717000","6.4","host","USB","64","URB_INTERRUPT out"
"40","30.181632000","host","6.4","USB","128","URB_INTERRUPT out"
"41","30.182725000","6.4","host","USB","64","URB_INTERRUPT out"
"42","30.185709000","6.3","host","USB","128","URB_INTERRUPT in"
"43","30.185759000","host","6.3","USB","64","URB_INTERRUPT in"
"44","30.187710000","6.3","host","USB","64","URB_INTERRUPT in"
"45","30.187723000","host","6.3","USB","64","URB_INTERRUPT in"
"46","30.195133000","host","6.4","USB","128","URB_INTERRUPT out"
"47","30.196788000","6.4","host","USB","64","URB_INTERRUPT out"
"48","30.197753000","6.3","host","USB","128","URB_INTERRUPT in"
"49","30.197809000","host","6.3","USB","64","URB_INTERRUPT in"
"50","30.408910000","host","6.4","USB","128","URB_INTERRUPT out"
"51","30.410751000","6.4","host","USB","64","URB_INTERRUPT out"
"52","30.417441000","host","6.4","USB","128","URB_INTERRUPT out"
